醫事機構代碼,機構服務項目代碼
3503010485,E
3503010485,Z
3503010494,A
3503010494,Y
3503010494,Z
3503010529,A
3503010529,E
3503010529,Y
3503010529,Z
3503010538,1
3503010538,A
3503010538,C
3503010538,E
3503010538,Z
3503010547,A
3503010547,E
3503010547,Z
3503020025,A
3503020025,Z
3503020034,A
3503020034,D
3503020034,E
3503020034,Z
3503020043,A
3503020043,D
3503020043,E
3503020043,Y
3503020043,Z
3503020070,A
3503020070,C
3503020089,A
3503020089,E
3503020089,Y
3503020089,Z
3503020098,A
3503020098,E
3503020098,Z
3503020105,A
3503020105,C
3503020141,A
3503020141,E
3503020141,Z
3503020150,A
3503020150,E
3503020150,F
3503020150,Y
3503020150,Z
3503020169,A
3503020187,A
3503020187,A0
3503020187,E
3503020187,F
3503020187,G
3503020187,Z
3503020196,A
3503020203,A
3503030012,A
3503030012,E
3503030012,Z
3503030030,A
3503030030,D
3503030030,E
3503030030,Y
3503030030,Z
3503030067,A
3503030067,E
3503030067,Z
3503030085,A
3503030085,E
3503030085,Y
3503030085,Z
3503030110,A
3503030110,D
3503030110,E
3503030110,Y
3503030110,Z
3503030129,A
3503030129,E
3503030129,Z
3503030138,A
3503030138,E
3503030138,Z
3503030147,A
3503030147,D
3503030147,E
3503030156,A
3503030156,C
3503030156,E
3503030156,Z
3503030209,A
3503040036,A
3503040036,A0
3503040036,E
3503040036,F
3503040036,G
3503040036,I
3503040036,Z
3503040045,A
3503040045,C
3503040054,A
3503040054,E
3503040054,Z
3503040063,A
3503040063,E
3503040063,Y
3503040063,Z
3503040090,A
3503040090,E
3503040090,Z
3503040107,A
3503040107,D
3503040107,E
3503040107,Z
3503040116,A
3503040116,D
3503040116,E
3503040116,Z
3503040125,A
3503040125,C
3503040125,E
3503040125,Z
3503040143,1
3503040143,A
3503040152,A
3503050014,A
3503050032,A
3503050032,E
3503050032,Y
3503050041,A
3503050041,E
3503050041,Z
3503050069,A
3503050069,E
3503050069,Z
3503050078,A
3503050078,E
3503050078,Z
3503050096,1
3503050096,A
3503050103,A
3503050103,D
3503050103,E
3503050112,A
3503050112,C
3503050112,E
3503050112,W
3503050112,Z
3503050130,A
3503050130,E
3503050130,Z
3503050149,A
3503050149,C
3503050167,1
3503050167,A
3503050176,A
3503050176,E
3503050176,Z
3503050185,A
3503050185,D
3503050185,E
3503050185,Z
3503050194,A
3503050194,E
3503050194,F
3503050194,Y
3503050194,Z
3503050210,1
3503050210,A
3503050238,A
3503050238,E
3503050238,Z
3503050247,A
3503050247,D
3503050247,E
3503050256,A
3503050256,D
3503050265,A
3503050265,C
3503050265,W
3503060010,A
3503060010,D
3503060010,E
3503060010,Y
3503060010,Z
3503060029,A
3503060038,A
3503060038,E
3503060038,Z
3503060047,A
3503060047,C
3503060047,E
3503060047,Z
3503070016,1
3503070016,2
3503070016,A
3503070016,Z
3503070043,A
3503070043,D
3503070043,E
3503070043,Y
3503070052,A
3503070052,E
3503070052,Y
3503070052,Z
3503070070,A
3503070089,A
3503070089,C
3503070089,E
3503070089,W
3503070089,Z
3503070098,1
3503070098,2
3503070098,A
3503080012,A
3503080012,E
3503080021,A
3503080021,E
3503080021,Z
3503080030,A
3503080030,C
3503080030,E
3503080030,Z
3503080049,A
3503080049,D
3503080049,E
3503080049,Y
3503080049,Z
3503080058,A
3503080058,D
3503080058,E
3503080058,Z
3503080067,1
3503080067,2
3503080067,7
3503080067,A
3503090018,A
3503090018,E
3503090018,Z
3503090027,A
3503090063,A
3503090063,E
3503090063,F
3503090063,G
3503090072,A
3503090072,E
3503090072,Y
3503090081,A
3503090090,1
3503090090,A
3503090090,E
3503090090,Y
3503090107,A
3503090107,C
3503090107,E
3503090107,W
3503090107,Z
3503090116,1
3503090116,A
3503090116,E
3503090125,A
3503090134,1
3503090134,2
3503090134,7
3503090134,A
3503090134,Z
3503090143,A
3503090161,A
3503090161,E
3503090161,Z
3503090170,1
3503090170,2
3503090170,7
3503090170,A
3503090170,E
3503090223,A
3503090223,C
3503090223,W
3503090232,A
3503090232,E
3503090232,Z
3503090241,A
3503090241,E
3503090241,Z
3503100019,A
3503100019,E
3503100019,Z
3503100028,A
3503100028,E
3503100028,Z
3503100037,1
3503100037,A
3503100037,E
3503100064,A
3503100064,D
3503100064,E
3503100064,Y
3503100064,Z
3503100073,A
3503100073,E
3503100073,Z
3503100091,1
3503100091,A
3503100091,E
3503100091,F
3503100091,Z
3503100117,1
3503100117,2
3503100117,7
3503100117,A
3503100126,A
3503100126,K
3503100135,A
3503100144,A
3503100144,E
3503100144,Z
3503100153,0
3503100153,A
3503100153,E
3503100153,Z
3503100162,A
3503100162,E
3503100162,Y
3503100162,Z
3503100171,A
3503100171,D
3503100171,E
3503100171,Y
3503100171,Z
3503110015,A
3503110015,E
3503110015,Z
3503130053,A
3503130053,E
3503130053,Z
3503150019,A
3503150019,D
3503150019,E
3503150019,Y
3503150037,1
3503150037,A
3503150037,E
3503150046,A
3503150046,E
3503150046,Y
3503150046,Z
3503150055,A
3503150055,E
3503150055,Y
3503150055,Z
3503150064,A
3503150064,E
3503150073,1
3503150073,2
3503150073,A
3503150073,E
3503150082,A
3503150082,C
3503150082,W
3503150108,1
3503150108,2
3503150108,7
3503150108,A
3503150108,E
3503150108,Z
3503150135,A
3503150135,D
3503150135,E
3503150135,Z
3503150144,A
3503150144,E
3503150144,Y
3503150144,Z
3503150171,A
3503150215,A
3503150215,E
3503150215,Z
3503150224,A
3503150224,E
3503150224,Z
3503160015,A
3503160024,A
3503160024,E
3503160024,Z
3503160033,A
3503160033,D
3503160033,Y
3503160042,A
3503160042,E
3503160042,Z
3503160051,A
3503160051,D
3503160051,E
3503160051,Y
3503160051,Z
3503160060,A
3503160060,E
3503160060,Z
3503170011,A
3503170011,A0
3503170011,D
3503170011,E
3503170011,F
3503170011,Y
3503170011,Z
3503170020,A
3503170020,E
3503170020,Z
3503170039,A
3503170039,E
3503170039,Z
3503170048,A
3503170048,E
3503170048,Y
3503170057,A
3503170057,E
3503170057,Y
3503170057,Z
3503170084,A
3503170084,E
3503170084,Y
3503170084,Z
3503170093,A
3503170093,E
3503170093,Z
3503170119,A
3503170119,D
3503170119,E
3503170119,Y
3503170119,Z
3503180017,A
3503180017,D
3503180017,E
3503180017,Z
3503180053,A
3503180053,D
3503180053,E
3503180053,Z
3503180062,1
3503180062,A
3503180080,A
3503180080,D
3503180080,E
3503180080,Y
3503180080,Z
3503180099,A
3503180099,E
3503180099,Z
3503180106,A
3503180115,A
3503180115,C
3503190013,A
3503190013,E
3503190013,Z
3503190031,A
3503190031,C
3503190031,E
3503190031,W
3503190031,Z
3503190040,A
3503190059,A
3503190059,D
3503190059,E
3503190086,1
3503190086,2
3503190086,A
3503190086,E
3503190095,A
3503190095,D
3503190095,E
3503190095,Z
3503190120,A
3503190120,D
3503190120,E
3503190139,A
3503190139,E
3503190139,Z
3503190157,A
3503190157,D
3503190157,E
3503190166,A
3503190166,D
3503190166,E
3503190166,Z
3503190193,A
3503190193,E
3503190193,Z
3503190219,A
3503190219,E
3503190219,Z
3503190228,A
3503190228,A0
3503190228,E
3503190228,F
3503190228,G
3503190237,A
3503190237,A0
3503190237,E
3503190237,F
3503190237,G
3503190237,Z
3503190246,1
3503190246,2
3503190246,7
3503190246,A
3503190255,A
3503190255,E
3503190255,Z
3503190264,A
3503190264,E
3503190264,Z
3503190273,A
3503190291,A
3503190291,E
3503190291,Y
3503190308,A
3503190308,D
3503190308,E
3503190308,Y
3503190308,Z
3503190326,A
3503190353,A
3503190362,1
3503190362,A
3503190362,E
3503190362,Z
3503190371,A
3503190415,A
3503190415,D
3503190415,E
3503190415,Y
3503190415,Z
3503190433,A
3503190433,C
3503190433,E
3503190433,Z
3503190442,A
3503190451,A
3503190460,A
3503190460,D
3503190460,E
3503190460,Y
3503190460,Z
3503190479,A
3503190479,E
3503190497,1
3503190497,2
3503190497,7
3503190497,A
3503190513,A
3503190513,D
3503190513,E
3503190513,Y
3503190513,Z
3503200041,A
3503200041,D
3503200041,E
3503200041,Z
3503200087,1
3503200087,2
3503200087,A
3503200096,A
3503200096,E
3503200103,A
3503200103,Y
3503200112,A
3503200112,E
3503200112,Z
3503200121,1
3503200121,2
3503200121,A
3503200121,E
3503200121,Y
3503200149,A
3503200149,E
3503200149,Z
3503200167,A
3503200167,D
3503200167,E
3503200167,Z
3503200176,A
3503200176,D
3503200176,E
3503200176,Z
3503200185,A
3503200201,1
3503200201,2
3503200201,7
3503200201,A
3503200210,A
3503200210,C
3503200210,W
3503200229,A
3503200229,Y
3503200247,A
3503200256,A
3503200256,E
3503200256,Z
3503200274,A
3503200274,C
3503200318,A
3503200318,D
3503200318,E
3503200327,A
3503200327,D
3503200327,E
3503200327,Z
3503200345,A
3503200345,E
3503200345,Z
3503200381,A
3503200381,E
3503200381,Z
3503200407,A
3503200407,D
3503200407,E
3503200407,F
3503200407,Y
3503200407,Z
3503200425,A
3503200425,F
3503200425,G
3503200425,I
3503200434,A
3503200434,E
3503200434,Y
3503200434,Z
3503200443,1
3503200443,2
3503200443,7
3503200443,A
3503200470,A
3503200470,E
3503200470,Y
3503200489,A
3503200489,E
3503200505,A
3503200505,E
3503200505,Y
3503200514,A
3503200514,E
3503200514,Z
3503200523,A
3503200532,A
3503200532,E
3503200532,Z
3503200541,A
3503200541,E
3503200541,Z
3503200550,A
3503200550,D
3503200550,E
3503200550,Y
3503200550,Z
3503200569,A
3503200569,D
3503200569,E
3503200569,Y
3503200569,Z
3503200578,A
3503200578,E
3503200578,Z
3503200587,A
3503200587,D
3503200587,E
3503200587,Z
3503200596,A
3503200596,E
3503200596,Z
3503200603,A
3503200603,E
3503200603,Z
3503200612,A
3503200612,C
3503200612,E
3503200612,Z
3503210047,A
3503210056,A
3503210056,Z
3503220016,A
3503220016,C
3503220052,A
3503220052,E
3503220052,Y
3503220052,Z
3503220070,A
3503220089,A
3503220123,A
3503220150,A
3503220150,E
3503220150,F
3503220150,G
3503220150,I
3503220150,Y
3503220150,Z
3503230067,1
3503230067,A
3503230067,D
3503230067,E
3503230067,Y
3503230067,Z
3503230085,A
3503230094,A
3503230110,A
3503230110,D
3503230110,E
3503230110,Y
3503230110,Z
3503230138,A
3503230138,E
3503230138,F
3503230138,Y
3503230138,Z
3503230147,1
3503230147,2
3503230147,7
3503230147,A
3503230156,A
3503230156,E
3503230156,Y
3503230156,Z
3503230165,A
3503230165,D
3503230165,E
3503230165,Y
3503230165,Z
3503230174,A
3503230174,Z
3503230183,A
3503230209,A
3503230209,E
3503230209,Y
3503230209,Z
3503230218,A
3503230218,E
3503230218,Z
3503230236,A
3503230236,D
3503230236,E
3503230236,Z
3503230263,A
3503230272,A
3503230272,D
3503230272,E
3503230272,Y
3503230272,Z
3503230307,A
3503230307,Z
3503230325,A
3503230343,A
3503230343,E
3503230343,Y
3503240107,A
3503240125,A
3503240278,A
3503240278,C
3503240278,W
3503240312,A
3503240312,A0
3503240312,E
3503240312,F
3503240312,G
3503240385,A
3503240447,A
3503240447,D
3503240447,E
3503240447,Z
3503240492,A
3503240492,Z
3503240545,A
3503240545,E
3503240545,Z
3503240563,A
3503240563,D
3503240563,E
3503240563,Z
3503240572,1
3503240572,A
3503240572,E
3503240572,Y
3503240572,Z
3503240643,A
3503240643,E
3503240643,F
3503240643,Y
3503240643,Z
3503240661,A
3503240661,D
3503240661,E
3503240661,Z
3503240689,A
3503240689,E
3503240689,Z
3503240714,A
3503240714,E
3503240714,Y
3503240714,Z
3503240769,A
3503240803,A
3503240803,D
3503240803,E
3503240849,A
3503240849,C
3503240849,E
3503240901,A
3503240901,E
3503240901,Z
3503240956,A
3503240956,E
3503240956,Z
3503240965,A
3503240965,E
3503241006,A
3503241006,E
3503241006,Z
3503241024,A
3503241024,E
3503241024,Z
3503241195,A
3503241195,D
3503241195,E
3503241195,F
3503241195,Z
3503241211,A
3503241211,E
3503241211,Z
3503241248,1
3503241248,A
3503241319,A
3503241319,E
3503241319,Z
3503241373,A
3503241373,A0
3503241373,E
3503241373,F
3503241373,G
3503241373,Z
3503241417,1
3503241417,A
3503241426,A
3503241444,A
3503241444,A0
3503241444,E
3503241444,F
3503241444,Q
3503241444,Y
3503241444,Z
3503241515,A
3503241515,E
3503241515,K
3503241515,Z
3503241524,A
3503241524,E
3503241604,A
3503241659,1
3503241659,A
3503241659,E
3503241668,A
3503241668,E
3503241668,Y
3503241668,Z
3503241739,A
3503241739,E
3503241739,Z
3503241757,A
3503241757,Z
3503241766,A
3503241766,E
3503241775,A
3503241793,A
3503241819,A
3503241819,E
3503241819,Z
3503241837,A
3503241837,E
3503241837,Z
3503241846,A
3503250014,A
3503250014,D
3503250014,E
3503250014,Y
3503250014,Z
3503250041,A
3503250041,D
3503250041,E
3503250041,Y
3503250041,Z
3503250050,A
3503250050,D
3503250069,Z
3503250078,A
3503250078,D
3503250078,E
3503250078,Y
3503250078,Z
3503250103,A
3503250103,C
3503250103,E
3503250103,W
3503250130,A
3503250130,E
3503250130,F
3503250130,G
3503250130,Z
3503250149,A
3503250149,D
3503250149,E
3503250149,Z
3503250167,A
3503250185,A
3503250238,A
3503250238,Z
3503250256,A
3503250256,D
3503250256,E
3503250256,Z
3503250265,A
3503250265,D
3503250265,E
3503250265,Y
3503250265,Z
3503250274,1
3503250274,A
3503250309,1
3503250309,2
3503250309,7
3503250309,A
3503250318,1
3503250318,2
3503250318,7
3503250318,A
3503250318,E
3503250327,A
3503250336,A
3503250336,D
3503250336,E
3503250336,F
3503250336,Y
3503250336,Z
3503250345,A
3503250345,D
3503250345,E
3503250345,Y
3503250345,Z
3503250354,1
3503250354,A
3503250354,E
3503250363,A
3503250372,A
3503250372,E
3503250372,Z
3503250381,A
3503250381,C
3503250381,E
3503250381,Z
3503250407,0
3503250407,A
3503250407,D
3503250407,E
3503250407,F
3503250407,Y
3503250407,Z
3503250416,A
3503250452,A
3503250452,D
3503250452,E
3503250452,Z
3503250489,A
3503250489,D
3503250489,E
3503250489,F
3503250489,Z
3503250541,A
3503250541,E
3503250541,Z
3503250550,A
3503250569,A
3503250578,A
3503250578,E
3503250578,Z
3503250587,1
3503250587,A
3503250587,E
3503250587,Z
3503250596,1
3503250596,A
3503250603,A
3503250603,E
3503250603,Y
3503250603,Z
3503250612,A
3503250621,A
3503250621,Z
3503250649,A
3503250649,E
3503250649,Z
3503260056,A
3503260056,D
3503260056,E
3503260056,Y
3503260056,Z
3503260083,A
3503260118,A
3503260118,D
3503260118,E
3503260118,Z
3503260127,A
3503260127,E
3503260127,Z
3503260154,A
3503260154,D
3503260154,E
3503260154,F
3503260154,Q
3503260154,Z
3503260163,A
3503260163,D
3503260163,E
3503260163,Y
3503260181,A
3503260181,E
3503260181,Z
3503260207,1
3503260207,A
3503260216,A
3503260216,Z
3503260234,A
3503260234,D
3503260234,E
3503260234,Y
3503260234,Z
3503260332,A
3503260332,E
3503260332,Y
3503260332,Z
3503260341,A
3503260341,D
3503260341,E
3503260341,Z
3503260378,A
3503260378,Z
3503260403,A
3503260449,1
3503260449,A
3503260449,E
3503260449,Z
3503260467,1
3503260467,2
3503260467,7
3503260467,A
3503260476,1
3503260476,2
3503260476,7
3503260476,A
3503260485,A
3503260485,E
3503260485,Y
3503260485,Z
3503260538,1
3503260538,A
3503260538,E
3503260556,A
3503260556,E
3503260556,W
3503260556,Z
3503260592,A
3503260592,D
3503260592,E
3503260592,Y
3503260592,Z
3503260609,A
3503260627,A
3503260627,Z
3503260645,1
3503260645,A
3503260645,E
3503260645,Z
3503260654,A
3503260654,E
3503260654,Z
3503260716,A
3503260770,A
3503260770,E
3503260770,Y
3503260770,Z
3503260789,A
3503260798,A
3503260805,A
3503260805,E
3503260805,Z
3503260814,A
3503260814,D
3503260814,E
3503260814,F
3503260814,G
3503260814,Z
3503260869,1
3503260869,A
3503260878,1
3503260878,2
3503260878,7
3503260878,A
3503260878,E
3503260878,Z
3503260887,1
3503260887,2
3503260887,7
3503260887,A
3503260887,E
3503260896,A
3503260896,D
3503260896,E
3503260896,Z
3503260903,A
3503260903,C
3503260903,E
3503260903,Z
3503260921,1
3503260921,2
3503260921,7
3503260921,A
3503260994,A
3503260994,E
3503260994,Z
3503261008,1
3503261008,2
3503261008,7
3503261008,A
3503261017,A
3503261017,E
3503261017,Z
3503261044,A
3503261044,D
3503261044,E
3503261053,A
3503261062,A
3503270016,A
3503270016,E
3503270016,Z
3503270034,A
3503270034,D
3503270034,E
3503270034,F
3503270034,Y
3503270034,Z
3503270070,A
3503270089,A
3503270150,A
3503270150,D
3503270150,E
3503270150,Y
3503270150,Z
3503270187,A
3503270276,A
3503270276,D
3503270276,E
3503270276,Z
3503270294,A
3503270294,E
3503270294,Y
3503270294,Z
3503270301,A
3503270301,E
3503270301,Z
3503270409,A
3503270507,A
3503270507,D
3503270507,E
3503270507,Z
3503270758,A
3503270758,E
3503270758,F
3503270801,A
3503270801,A0
3503270801,E
3503270801,F
3503270801,G
3503270801,I
3503270883,A
3503270883,D
3503270883,E
3503270883,Z
3503271068,A
3503271086,A
3503271102,A
3503271120,A
3503271120,E
3503271120,F
3503271120,G
3503271120,Z
3503271148,A
3503271148,E
3503271148,Z
3503271166,A
3503271166,E
3503271166,Y
3503271166,Z
3503271200,1
3503271200,2
3503271200,7
3503271200,A
3503271335,1
3503271335,A
3503271344,A
3503271353,A
3503271353,C
3503271353,E
3503271353,W
3503271353,Z
3503271406,A
3503271406,D
3503271406,Z
3503271415,1
3503271415,A
3503271415,E
3503271415,Z
3503271433,A
3503271433,E
3503271433,Y
3503271433,Z
3503271442,A
3503271497,1
3503271497,2
3503271497,7
3503271497,A
3503271497,E
3503271497,Y
3503271540,A
3503271540,E
3503271540,Y
3503271540,Z
3503271568,A
3503271568,E
3503271568,F
3503271568,Z
3503271577,A
3503271602,A
3503271602,E
3503271602,Z
3503271611,A
3503271611,F
3503271675,A
3503271700,A
3503271700,C
3503271700,E
3503271700,Z
3503271746,A
3503271746,A0
3503271746,E
3503271746,F
3503271746,Y
3503271746,Z
3503271764,1
3503271764,A
3503271773,A
3503271773,D
3503271773,E
3503271773,Y
3503271773,Z
3503271817,A
3503271826,A
3503271826,C
3503271826,E
3503271826,Z
3503271862,A
3503271862,D
3503271862,E
3503271862,Z
3503271880,A
3503271880,C
3503271924,A
3503271924,Z
3503271960,A
3503271960,E
3503271960,Z
3503272010,A
3503272074,A
3503272074,E
3503272074,Z
3503272109,1
3503272109,A
3503272109,Z
3503272145,A
3503272145,E
3503272145,Z
3503272154,A
3503272163,A
3503272163,E
3503272163,F
3503272163,G
3503272163,Z
3503272172,A
3503272172,Z
3503272190,A
3503272216,1
3503272216,A
3503272234,A
3503272234,D
3503272234,E
3503272234,F
3503272234,Y
3503272234,Z
3503272350,7
3503272350,A
3503272350,D
3503272350,E
3503272350,Y
3503272396,A
3503272396,E
3503272396,Z
3503272449,A
3503272449,E
3503272449,Y
3503272449,Z
3503272476,A
3503272476,D
3503272476,E
3503272476,Y
3503272476,Z
3503272538,A
3503272547,A
3503272556,A
3503272574,A
3503272592,A
3503272592,D
3503272592,E
3503272592,Z
3503272627,A
3503272627,A0
3503272627,D
3503272627,F
3503272627,G
3503272627,I
3503272636,A
3503272636,D
3503272636,F
3503272636,G
3503272636,I
3503272654,A
3503272654,D
3503272654,E
3503272654,Y
3503272654,Z
3503272681,A
3503272681,E
3503272681,Z
3503272725,A
3503272725,E
3503272725,Z
3503272743,1
3503272743,2
3503272743,A
3503272752,A
3503272770,A
3503272805,A
3503272805,E
3503272805,Y
3503272805,Z
3503272823,A
3503272823,E
3503272823,Y
3503272823,Z
3503272832,A
3503272887,A
3503272896,A
3503272912,A
3503272912,D
3503272912,E
3503272912,Z
3503272949,A
3503272949,Z
3503272985,A
3503273008,A
3503273008,E
3503273008,Y
3503273008,Z
3503273017,A
3503273017,E
3503273017,Z
3503280094,A
3503280094,E
3503280094,Z
3503280156,A
3503280183,A
3503280192,A
3503280209,A
3503280209,E
3503280209,Y
3503280209,Z
3503280245,A
3503280272,A
3503280272,E
3503280272,F
3503280272,G
3503280272,I
3503280281,A
3503280334,A
3503280334,D
3503280334,E
3503280334,F
3503280334,G
3503280334,Z
3503280370,A
3503280370,E
3503280370,Z
3503280414,0
3503280414,A
3503280414,E
3503280414,Z
3503280450,1
3503280450,2
3503280450,7
3503280450,A
3503280469,A
3503280469,D
3503280469,E
3503280469,F
3503280469,G
3503280487,A
3503280487,E
3503280487,Z
3503280503,A
3503280503,D
3503280503,E
3503280503,Z
3503280512,A
3503280512,C
3503280512,E
3503280512,W
3503280530,A
3503280530,A0
3503280530,F
3503280530,G
3503280558,A
3503280558,D
3503280567,A
3503280601,A
3503280601,E
3503280601,Z
3503280610,A
3503280610,E
3503280610,Y
3503280610,Z
3503280674,A
3503280674,E
3503280674,Y
3503280674,Z
3503280709,A
3503280709,D
3503280709,E
3503280727,A
3503280727,Q
3503280727,Y
3503280727,Z
3503280736,A
3503280736,E
3503280736,Y
3503280754,A
3503280754,K
3503280754,Z
3503280834,A
3503280834,E
3503280834,Z
3503280852,A
3503280852,D
3503280852,E
3503280852,Z
3503280898,A
3503280898,D
3503280898,E
3503280898,Y
3503280898,Z
3503280905,A
3503280914,A
3503280914,D
3503280914,E
3503280914,Y
3503280914,Z
3503280987,0
3503280987,A
3503280987,D
3503280987,E
3503280987,Z
3503281000,A
3503281000,D
3503281000,E
3503281000,Z
3503281055,1
3503281055,2
3503281055,7
3503281055,A
3503281073,1
3503281073,A
3503281082,A
3503281082,E
3503281082,Y
3503281082,Z
3503281108,A
3503281108,D
3503281108,E
3503281108,Z
3503281153,A
3503281153,D
3503281153,Z
3503281206,A
3503281279,A
3503281279,D
3503281279,E
3503281279,Y
3503281279,Z
3503281288,A
3503281288,E
3503281288,Y
3503281288,Z
3503281359,1
3503281359,2
3503281359,7
3503281359,A
3503281395,1
3503281395,2
3503281395,7
3503281395,A
3503281402,A
3503281439,A
3503281439,D
3503281439,E
3503281439,Y
3503281439,Z
3503281457,A
3503281484,A
3503281484,A0
3503281484,E
3503281484,F
3503281484,G
3503281484,Z
3503281500,A
3503281500,D
3503281500,E
3503281500,Z
3503281519,A
3503281519,A0
3503281519,D
3503281519,E
3503281519,F
3503281519,G
3503281519,Q
3503281519,Y
3503281519,Z
3503281582,A
3503281582,D
3503281582,Y
3503281591,A
3503281591,E
3503281591,Y
3503281591,Z
3503281608,A
3503281608,D
3503281608,E
3503281608,Z
3503281626,A
3503281626,E
3503281626,Z
3503281742,A
3503281742,A0
3503281742,F
3503281797,A
3503281797,E
3503281797,Z
3503281804,A
3503281813,A
3503281813,F
3503281813,G
3503281859,A
3503281859,E
3503281902,A
3503281902,D
3503281902,E
3503281902,Y
3503281902,Z
3503281948,A
3503281957,A
3503281957,C
3503281957,W
3503281975,A
3503282007,A
3503282025,A
3503282025,Z
3503282052,1
3503282052,2
3503282052,7
3503282052,A
3503282061,A
3503282061,A0
3503282061,E
3503282061,F
3503282061,Z
3503282089,A
3503282089,Z
3503282114,A
3503282123,A
3503282141,A
3503282141,D
3503282141,E
3503282141,Y
3503282141,Z
3503282178,1
3503282178,2
3503282178,7
3503282178,A
3503282187,A
3503282187,C
3503282187,E
3503282187,W
3503282187,Z
3503282230,A
3503282230,D
3503282230,E
3503282230,Y
3503282230,Z
3503282249,A
3503282249,A0
3503282249,F
3503282249,G
3503282258,1
3503282258,2
3503282258,7
3503282258,A
3503282276,A
3503282285,A
3503282285,E
3503282285,Z
3503282310,1
3503282310,2
3503282310,7
3503282310,A
3503282338,A
3503282365,1
3503282365,2
3503282365,7
3503282365,A
3503282409,A
3503282409,E
3503282409,Z
3503282427,A
3503282445,A
3503282454,A
3503282454,Z
3503282516,A
3503282543,A
3503282543,D
3503282543,E
3503282543,Z
3503282589,A
3503282605,A
3503282605,E
3503290045,A
3503290045,D
3503290045,E
3503290045,Z
3503290054,A
3503290054,D
3503290054,E
3503290054,Y
3503290054,Z
3503290081,A
3503290081,D
3503290081,E
3503290081,Z
3503290090,Z
3503290116,A
3503290134,A
3503290134,D
3503290134,E
3503290170,A
3503290170,E
3503290170,Z
3503290189,Z
3503290198,A
3503290205,A
3503290205,D
3503290205,E
3503290205,Y
3503290205,Z
3503290223,A
3503290223,C
3503290223,E
3503290223,W
3503290241,A
3503290241,Z
3503290250,A
3503290250,E
3503290250,Z
3503290278,Z
3503290287,1
3503290287,A
3503290287,E
3503290287,Z
3503290303,A
3503290321,A
3503290321,E
3503290321,Y
3503290321,Z
3503290330,A
3503290330,E
3503290330,Y
3503290330,Z
3503290367,A
3503290367,D
3503290367,E
3503290367,Y
3503290367,Z
3503290410,A
3503290410,F
3503290410,G
3503290410,Z
3503290429,A
3503290429,E
3503290429,Y
3503290429,Z
3503290438,1
3503290438,A
3503290474,A
3503290474,E
3503290474,Z
3503290509,1
3503290509,A
3503290527,A
3503290527,E
3503290527,Y
3503290527,Z
3503290536,A
3503290536,D
3503290536,E
3503290536,Y
3503290536,Z
3503290545,1
3503290545,A
3503290563,1
3503290563,2
3503290563,7
3503290563,A
3503290581,A
3503290581,Q
3503290581,Y
3503290581,Z
3503290607,1
3503290607,2
3503290607,7
3503290607,A
3503290625,1
3503290625,2
3503290625,A
3503290634,A
3503290661,1
3503290661,A
3503290661,E
3503290661,Z
3503290670,A
3503290670,E
3503290670,F
3503290670,Z
3503290698,A
3503290698,D
3503290698,E
3503290698,Y
3503290698,Z
3503290705,A
3503290705,D
3503290705,E
3503290705,Z
3503290714,A
3503290732,A
3503290732,E
3503290732,Y
3503290732,Z
3503290741,A
3503290741,D
3503290741,E
3503290741,Y
3503290741,Z
3503290769,1
3503290769,2
3503290769,7
3503290769,A
3503290787,A
3503290787,A0
3503290787,F
3503290787,G
3503290796,A
3503290796,E
3503290796,Z
3503290803,A
3503290803,E
3503290803,Z
3503290812,A
3503290812,E
3503290876,A
3503290876,Z
3503290894,A
3503290894,E
3503290894,Y
3503290894,Z
3503290901,A
3503290901,C
3503290901,E
3503290901,Z
3503290929,A
3503290929,D
3503290929,E
3503290929,Z
3503290938,A
3503290956,A
3503290965,A
3503290965,E
3503290965,Z
3503290992,1
3503290992,2
3503290992,7
3503290992,A
3503291024,A
3503291024,F
3503291024,G
3503291033,A
3503291033,C
3503291033,E
3503291033,Z
3503291051,A
3503291113,A
3503291122,A
3503291122,D
3503291122,E
3503291122,Y
3503291122,Z
3503291131,1
3503291131,2
3503291131,A
3503291159,A
3503291168,1
3503291168,2
3503291168,A
3503291177,1
3503291177,2
3503291177,7
3503291177,A
3503291202,A
3503291202,D
3503291202,E
3503291202,Z
3503291211,1
3503291211,2
3503291211,7
3503291211,A
3503291239,A
3503291239,D
3503291239,E
3503291239,Z
3503291257,A
3503291293,1
3503291293,2
3503291293,7
3503291293,A
3503291293,E
3503291293,Z
3503291300,A
3503291300,A0
3503291300,E
3503291300,F
3503291300,Z
3503291319,A
3503291319,E
3503291319,Z
3503291328,A
3503291328,E
3503291328,F
3503291328,Y
3503291328,Z
3503291355,A
3503291373,A
3503291373,E
3503291373,Y
3503291373,Z
3503291382,A
3503291391,1
3503291391,2
3503291391,7
3503291391,A
3503291408,A
3503291408,E
3503291408,Z
3503291453,A
3503291453,E
3503291471,A
3503291471,E
3503291471,Y
3503291471,Z
3503291499,A
3503291506,A
3503291515,A
3503291524,A
3503291524,D
3503291524,E
3503291524,Y
3503291524,Z
3503291533,A
3503291533,D
3503291533,E
3503291533,Z
3503291542,A
3503291542,E
3503291542,Y
3503291542,Z
3503291551,A
3503291551,E
3503291551,Y
3503291551,Z
3503291579,A
3503291613,A
3503291613,D
3503291613,Y
3503291613,Z
3503291622,A
3503291640,A
3503291640,E
3503291640,Z
3505010018,A
3505010018,E
3505010027,A
